ID: 1, age: 90, gender: 13, martial: 70, race: 61, birth: 74, lang: 10, occ: 24, income: 5
ID: 2, age: 20, gender: 59, martial: 34, race: 31, birth: 44, lang: 13, occ: 50, income: 44
ID: 3, age: 56, gender: 25, martial: 97, race: 86, birth: 76, lang: 57, occ: 53, income: 26
ID: 4, age: 28, gender: 77, martial: 80, race: 23, birth: 48, lang: 4, occ: 74, income: 39
ID: 5, age: 54, gender: 60, martial: 67, race: 9, birth: 18, lang: 54, occ: 39, income: 57
ID: 6, age: 86, gender: 21, martial: 9, race: 60, birth: 1, lang: 50, occ: 74, income: 18
ID: 7, age: 19, gender: 57, martial: 39, race: 79, birth: 49, lang: 14, occ: 30, income: 62
ID: 8, age: 3, gender: 21, martial: 44, race: 46, birth: 41, lang: 67, occ: 13, income: 66
ID: 9, age: 13, gender: 51, martial: 33, race: 43, birth: 45, lang: 73, occ: 75, income: 35
ID: 10, age: 24, gender: 58, martial: 87, race: 10, birth: 20, lang: 14, occ: 1, income: 59
ID: 11, age: 82, gender: 68, martial: 82, race: 64, birth: 49, lang: 25, occ: 25, income: 69
ID: 12, age: 19, gender: 49, martial: 96, race: 84, birth: 94, lang: 75, occ: 87, income: 48
ID: 13, age: 19, gender: 32, martial: 67, race: 7, birth: 19, lang: 64, occ: 22, income: 24
ID: 14, age: 54, gender: 55, martial: 49, race: 85, birth: 30, lang: 39, occ: 98, income: 68
ID: 15, age: 63, gender: 73, martial: 75, race: 15, birth: 91, lang: 55, occ: 80, income: 74
ID: 16, age: 21, gender: 18, martial: 58, race: 97, birth: 47, lang: 9, occ: 1, income: 63
ID: 17, age: 23, gender: 58, martial: 24, race: 2, birth: 39, lang: 40, occ: 35, income: 32
ID: 18, age: 25, gender: 14, martial: 60, race: 51, birth: 59, lang: 5, occ: 49, income: 22
ID: 19, age: 60, gender: 23, martial: 42, race: 45, birth: 8, lang: 16, occ: 69, income: 93
ID: 20, age: 78, gender: 14, martial: 77, race: 94, birth: 92, lang: 59, occ: 84, income: 43
ID: 21, age: 53, gender: 42, martial: 28, race: 31, birth: 67, lang: 17, occ: 6, income: 64
ID: 22, age: 53, gender: 58, martial: 79, race: 8, birth: 80, lang: 13, occ: 47, income: 29
ID: 23, age: 15, gender: 9, martial: 88, race: 20, birth: 97, lang: 13, occ: 26, income: 0
ID: 24, age: 62, gender: 96, martial: 74, race: 98, birth: 18, lang: 8, occ: 68, income: 24
ID: 25, age: 27, gender: 69, martial: 23, race: 45, birth: 63, lang: 81, occ: 65, income: 80
ID: 26, age: 65, gender: 36, martial: 65, race: 13, birth: 31, lang: 7, occ: 34, income: 71
ID: 27, age: 13, gender: 80, martial: 24, race: 89, birth: 12, lang: 15, occ: 49, income: 92
ID: 28, age: 94, gender: 57, martial: 79, race: 62, birth: 43, lang: 31, occ: 88, income: 45
ID: 29, age: 85, gender: 21, martial: 27, race: 14, birth: 94, lang: 58, occ: 39, income: 96
ID: 30, age: 42, gender: 43, martial: 4, race: 98, birth: 78, lang: 68, occ: 80, income: 13
ID: 31, age: 80, gender: 7, martial: 86, race: 35, birth: 94, lang: 6, occ: 58, income: 5
ID: 32, age: 18, gender: 83, martial: 32, race: 21, birth: 88, lang: 75, occ: 90, income: 74
ID: 33, age: 85, gender: 23, martial: 37, race: 72, birth: 38, lang: 64, occ: 93, income: 71
ID: 34, age: 6, gender: 57, martial: 58, race: 48, birth: 15, lang: 63, occ: 44, income: 17
ID: 35, age: 77, gender: 84, martial: 8, race: 50, birth: 4, lang: 0, occ: 64, income: 69
ID: 36, age: 67, gender: 42, martial: 0, race: 43, birth: 72, lang: 65, occ: 59, income: 50
ID: 37, age: 12, gender: 54, martial: 80, race: 43, birth: 17, lang: 5, occ: 6, income: 93
ID: 38, age: 45, gender: 31, martial: 37, race: 76, birth: 25, lang: 28, occ: 17, income: 24
ID: 39, age: 42, gender: 33, martial: 85, race: 91, birth: 56, lang: 1, occ: 31, income: 53
ID: 40, age: 96, gender: 6, martial: 8, race: 51, birth: 39, lang: 66, occ: 50, income: 96
ID: 41, age: 68, gender: 73, martial: 20, race: 92, birth: 61, lang: 66, occ: 11, income: 66
ID: 42, age: 96, gender: 63, martial: 76, race: 43, birth: 66, lang: 93, occ: 53, income: 38
ID: 43, age: 49, gender: 45, martial: 89, race: 1, birth: 51, lang: 4, occ: 64, income: 60
ID: 44, age: 89, gender: 91, martial: 47, race: 71, birth: 43, lang: 88, occ: 63, income: 40
ID: 45, age: 68, gender: 23, martial: 76, race: 78, birth: 54, lang: 50, occ: 57, income: 10
ID: 46, age: 5, gender: 73, martial: 1, race: 45, birth: 24, lang: 86, occ: 68, income: 81
ID: 47, age: 59, gender: 67, martial: 54, race: 19, birth: 18, lang: 8, occ: 77, income: 65
ID: 48, age: 65, gender: 30, martial: 45, race: 54, birth: 41, lang: 54, occ: 7, income: 17
ID: 49, age: 90, gender: 53, martial: 94, race: 9, birth: 85, lang: 19, occ: 33, income: 55
ID: 50, age: 9, gender: 13, martial: 92, race: 92, birth: 8, lang: 67, occ: 91, income: 63
ID: 51, age: 97, gender: 99, martial: 46, race: 27, birth: 40, lang: 79, occ: 21, income: 69
ID: 52, age: 6, gender: 25, martial: 20, race: 51, birth: 60, lang: 38, occ: 53, income: 53
ID: 53, age: 6, gender: 57, martial: 96, race: 91, birth: 14, lang: 91, occ: 96, income: 53
ID: 54, age: 37, gender: 40, martial: 79, race: 16, birth: 31, lang: 14, occ: 24, income: 87
ID: 55, age: 22, gender: 77, martial: 29, race: 17, birth: 80, lang: 78, occ: 19, income: 0
ID: 56, age: 93, gender: 92, martial: 7, race: 39, birth: 86, lang: 82, occ: 67, income: 83
ID: 57, age: 70, gender: 5, martial: 16, race: 31, birth: 99, lang: 59, occ: 35, income: 56
ID: 58, age: 50, gender: 46, martial: 93, race: 98, birth: 8, lang: 1, occ: 19, income: 40
ID: 59, age: 40, gender: 3, martial: 11, race: 5, birth: 81, lang: 82, occ: 76, income: 12
ID: 60, age: 1, gender: 63, martial: 70, race: 45, birth: 70, lang: 26, occ: 86, income: 78
ID: 61, age: 31, gender: 6, martial: 57, race: 91, birth: 36, lang: 52, occ: 22, income: 5
ID: 62, age: 64, gender: 29, martial: 38, race: 0, birth: 26, lang: 40, occ: 7, income: 76
ID: 63, age: 53, gender: 12, martial: 1, race: 23, birth: 71, lang: 45, occ: 11, income: 14
ID: 64, age: 14, gender: 38, martial: 38, race: 9, birth: 84, lang: 23, occ: 38, income: 87
ID: 65, age: 76, gender: 87, martial: 61, race: 48, birth: 4, lang: 3, occ: 90, income: 13
ID: 66, age: 83, gender: 38, martial: 84, race: 69, birth: 73, lang: 55, occ: 79, income: 21
ID: 67, age: 75, gender: 28, martial: 19, race: 88, birth: 22, lang: 55, occ: 35, income: 47
ID: 68, age: 7, gender: 85, martial: 50, race: 42, birth: 18, lang: 12, occ: 51, income: 57
ID: 69, age: 22, gender: 17, martial: 50, race: 1, birth: 88, lang: 11, occ: 40, income: 40
ID: 70, age: 7, gender: 35, martial: 86, race: 8, birth: 99, lang: 96, occ: 72, income: 30
ID: 71, age: 70, gender: 89, martial: 58, race: 61, birth: 62, lang: 30, occ: 42, income: 73
ID: 72, age: 92, gender: 62, martial: 26, race: 51, birth: 55, lang: 89, occ: 1, income: 61
ID: 73, age: 6, gender: 42, martial: 1, race: 76, birth: 67, lang: 32, occ: 73, income: 66
